Year,Month,AVERAGE TEMPERATURE (Deg C),BAROMETRIC PRESSURE (hPa),CLOUD COVER (Oktas),DEWPOINT TEMPERATURE (Deg C),EVAPOTRANSPIRATION (mm),MAXIMUM TEMPERATURE (Deg C),MINIMUM TEMPERATURE (Deg C),RAINFALL (mm),RELATIVE HUMIDITY (%),SOLAR RADIATION (MJ/m2),SUNSHINE HOURS,WIND DIRECTION (Degrees),WIND SPEED (kt),Rain_Anomaly,Date
2006.0,Jan,25.1,961.7,3.0,8.900000000000002,6.3,34.7,15.6,0.0,19.0,21.7,7.4,40.0,6.0,0.0,2006-01-01
2006.0,Feb,27.6,960.4,2.0,10.400000000000002,7.9,37.4,17.6,0.0,14.0,23.8,7.4,70.0,5.0,0.0,2006-02-01
2006.0,Mar,29.2,960.7,3.0,11.2,8.6,38.5,20.6,0.0,10.0,26.5,7.5,50.0,6.0,-0.07200000000000001,2006-03-01
2006.0,April,31.1,959.3,4.0,14.5,8.2,40.2,22.8,0.0,17.0,27.3,8.5,100.0,6.0,-20.772000000000002,2006-04-01
2006.0,May,32.5,960.4,4.0,21.9,6.8,39.1,25.5,13.2,47.0,24.3,8.2,200.0,5.0,-24.824,2006-05-01
2006.0,June,31.0,961.3,4.0,21.6,5.6,36.5,24.4,77.9,53.0,24.4,7.3,210.0,5.0,-28.707999999999984,2006-06-01
2006.0,July,28.7,962.6,6.0,22.7,4.4,33.3,23.1,251.5,70.0,22.7,6.5,220.0,5.0,78.39599999999999,2006-07-01
2006.0,Aug,26.8,962.6,7.0,22.4,3.9,31.4,22.7,151.8,78.0,20.3,5.7,220.0,4.0,-101.97599999999997,2006-08-01
2006.0,Sep,27.6,962.7,4.0,22.400000000000002,4.8,32.8,22.6,83.6,74.0,22.1,6.6,220.0,4.0,-40.792000000000016,2006-09-01
2006.0,Oct,28.9,961.7,4.0,18.9,5.6,35.3,22.0,70.5,50.0,22.8,7.9,140.0,4.0,35.272,2006-10-01
2006.0,Nov,24.2,963.6,3.0,9.0,6.6,33.6,16.5,0.0,24.0,22.7,8.2,40.0,6.0,-0.29600000000000004,2006-11-01
2006.0,Dec,20.9,965.8,1.0,5.499999999999998,6.3,30.5,12.5,0.0,23.0,21.8,7.6,30.0,6.0,-0.16,2006-12-01
2007.0,Jan,20.7,966.6,3.0,4.899999999999999,6.6,30.9,12.9,0.0,21.0,22.3,7.5,40.0,7.0,0.0,2007-01-01
2007.0,Feb,25.8,962.9,3.0,8.8,7.2,35.4,16.4,0.0,15.0,24.0,7.5,50.0,6.0,0.0,2007-02-01
2007.0,Mar,28.6,960.7,3.0,10.8,8.4,33.0,19.8,0.0,11.0,26.3,7.9,50.0,6.0,-0.07200000000000001,2007-03-01
2007.0,April,32.6,958.7,3.0,18.200000000000003,8.4,35.1,25.5,7.7,28.0,25.7,8.1,150.0,5.0,-13.072000000000003,2007-04-01
2007.0,May,32.7,959.7,5.0,21.300000000000004,6.7,32.1,26.8,9.5,43.0,24.9,8.7,190.0,5.0,-28.524,2007-05-01
2007.0,June,30.6,961.3,3.0,21.8,6.4,29.0,24.8,103.9,56.0,23.5,6.4,220.0,5.0,-2.707999999999984,2007-06-01
